Orden;President;Begining;End;Duration
1;Dina Ercilia Boluarte Zegarra;2022;2024;2
2;José Pedro Castillo Terrones;2021;2022;1
3;Francisco Rafael Sagasti Hochhausler;2020;2021;1
4;Manuel Arturo Merino De Lama;2020;2020;0
5;Martín Alberto Vizcarra Cornejo;2018;2020;2
6;Pedro Pablo Kuczynski Godard;2016;2018;2
7;Ollanta Moisés Humala Tasso;2011;2016;5
8;Alan García Pérez;2006;2011;5
9;Alejandro Toledo Manrique;2001;2006;5
10;Valentín Paniagua Corazao;2000;2001;1
11;Alberto Fujimori Fujimori;1990;2000;10
12;Alan García Pérez;1985;1990;5
13;Fernando Belaúnde Terry;1980;1985;5
14;Francisco Morales Bermúdez;1975;1980;5
15;Juan Velasco Alvarado;1968;1975;7
16;Fernando Belaúnde Terry;1963;1968;5
17;Nicolás Lindley López;1963;1963;0
18;Ricardo Pérez Godoy;1962;1963;1
19;Manuel Prado y Ugarteche;1956;1962;6
20;Manuel A. Odría;1950;1956;6
21;Zenón Noriega;1950;1950;0
22;Manuel A. Odría;1948;1950;2
23;José Luis Bustamante y Rivero;1945;1948;3
24;Manuel Prado y Ugarteche;1939;1945;6
25;Oscar R. Benavides;1933;1939;6
26;Luis Miguel Sanchez Cerro;1931;1933;2
27;David Samanez Ocampo;1931;1931;0
28;Gustavo A. Jimenez;1931;1931;0
29;Ricardo Leoncio Elias Arias;1931;1931;0
30;Luis Miguel Sanchez Cerro;1930;1931;1
31;Manuel Ponce;1930;1930;0
32;Augusto B. Leguia;1919;1930;11
33;José Pardo y Barreda;1915;1919;4
34;Oscar R. Benavides;1914;1915;1
35;Guillermo Enrique Billinghurst;1912;1914;2
36;Augusto B. Leguia;1908;1912;4
37;José Pardo y Barreda;1904;1908;4
38;Serapio Calderón;1904;1904;0
39;Manuel Candamo;1903;1904;1
40;Eduardo López de Romana;1899;1903;4
41;Nicolás de Piérola Villena;1895;1899;4
42;Manuel Candamo;1895;1895;0
43;Andrés Avelino Caceres Dorregaray;1894;1895;1
44;Justiniano Borgoño;1894;1894;0
45;Remigio Morales Bermúdez;1890;1894;4
46;Andrés Avelino Caceres Dorregaray;1886;1890;4
47;Antonio Arenas Merino;1885;1886;1
48;Miguel Iglesias Pino;1882;1885;3
49;Lizardo Montero Flores;1881;1882;1
50;Francisco García Calderón Landa;1881;1881;0
51;Nicolás de Piérola Villena;1879;1881;2
52;Luis La Puerta Mendoza;1879;1879;0
53;Mariano Ignacio Prado;1876;1879;3
54;Manuel Pardo Lavalle;1875;1876;1
55;Manuel Costas;1874;1875;1
56;Manuel Pardo Lavalle;1872;1874;2
57;Manuel Herencia Zevallos;1872;1872;0
58;Tomás Gutiérrez;1872;1872;0
59;José Balta Montero;1868;1872;4
60;Pedro Diez Canseco Corbacho;1868;1868;0
61;Luis La Puerta Mendoza;1867;1868;1
62;Mariano Ignacio Prado;1865;1872;7
63;Pedro Diez Canseco Corbacho;1865;1865;0
64;Juan Antonio Pezet y Rodríguez de la Piedra;1863;1865;2
65;Pedro Diez Canseco Corbacho;1863;1863;0
66;Miguel San Román y Meza;1862;1863;1
67;Ramón Castilla y Marquesado;1860;1862;2
68;Juan Manuel del Mar;1859;1860;1
69;Ramón Castilla y Marquesado;1858;1859;1
70;José María Raygada;1857;1858;1
